train_loss_step,train_main_loss_step,train_recon_loss_step,step,epoch,val_recon_loss_step,val_loss_step,val_main_loss_step,val_loss_epoch,val_main_loss_epoch,val_recon_loss_epoch,train_recon_loss_epoch,train_loss_epoch,train_main_loss_epoch
,,,187,,4131.140625,372648608.0,745288960.0,,,,,,
,,,188,,4131.20361328125,376089056.0,752169856.0,,,,,,
,,,189,,4131.142578125,448967008.0,897925760.0,,,,,,
,,,190,,4131.17578125,482257024.0,964505792.0,,,,,,
,,,191,,4131.1611328125,389278720.0,778549184.0,,,,,,
,,,192,,4131.1865234375,450580672.0,901153088.0,,,,,,
,,,193,,4131.19873046875,353003936.0,705999616.0,,,,,,
,,,194,,4131.19677734375,358354656.0,716701056.0,,,,,,
,,,195,,4131.16552734375,464426720.0,928845184.0,,,,,,
,,,196,,4131.18701171875,369699296.0,739390336.0,,,,,,
,,,197,,4131.1904296875,362875552.0,725742848.0,,,,,,
,,,198,,4131.20068359375,409250272.0,818492288.0,,,,,,
,,,199,,4131.19921875,384184736.0,768361216.0,,,,,,
,,,799,9,,,,397818208.0,795628288.0,4131.181640625,,,
,,,799,9,,,,,,,3706.143310546875,402530944.0,805054272.0
466814112.0,933621760.0,3226.38037109375,849,10,,,,,,,,,
,,,200,,3586.78173828125,395868288.0,791729408.0,,,,,,
,,,201,,3586.76220703125,359202272.0,718397376.0,,,,,,
,,,202,,3586.7890625,366302528.0,732597888.0,,,,,,
,,,203,,3586.80517578125,334070912.0,668134656.0,,,,,,
,,,204,,3586.79833984375,403502112.0,806997056.0,,,,,,
,,,205,,3586.81787109375,439845856.0,879684544.0,,,,,,
,,,206,,3586.792236328125,412997984.0,825988800.0,,,,,,
,,,207,,3586.761962890625,369444544.0,738881920.0,,,,,,
,,,208,,3586.81640625,372933824.0,745860480.0,,,,,,
,,,209,,3586.75244140625,445414368.0,890821568.0,,,,,,
,,,210,,3586.790771484375,478517184.0,957027200.0,,,,,,
,,,211,,3586.7744140625,386026304.0,772045440.0,,,,,,
,,,212,,3586.797119140625,447027680.0,894048192.0,,,,,,
,,,213,,3586.807373046875,350013696.0,700020224.0,,,,,,
,,,214,,3586.797607421875,355187072.0,710366976.0,,,,,,
,,,215,,3586.78662109375,460749568.0,921491968.0,,,,,,
,,,216,,3586.79541015625,366527232.0,733047296.0,,,,,,
,,,217,,3586.802978515625,359670560.0,719333952.0,,,,,,
,,,218,,3586.8037109375,405841408.0,811675648.0,,,,,,
,,,219,,3586.808349609375,380976160.0,761945152.0,,,,,,
,,,879,10,,,,394505952.0,789004800.0,3586.7919921875,,,
,,,879,10,,,,,,,3283.6064453125,399419136.0,798831552.0
428012960.0,856020096.0,2918.814208984375,899,11,,,,,,,,,
408017024.0,816028864.0,2584.447265625,949,11,,,,,,,,,
,,,220,,2953.342041015625,392398592.0,784791296.0,,,,,,
,,,221,,2953.3291015625,356030464.0,712055040.0,,,,,,
,,,222,,2953.350341796875,363097152.0,726188416.0,,,,,,
,,,223,,2953.361083984375,330902432.0,661798976.0,,,,,,
,,,224,,2953.35498046875,400054240.0,800102592.0,,,,,,
,,,225,,2953.366943359375,436076832.0,872147776.0,,,,,,
,,,226,,2953.348876953125,409447776.0,818889664.0,,,,,,
,,,227,,2953.328369140625,366125824.0,732245760.0,,,,,,
,,,228,,2953.37255859375,369666048.0,739326208.0,,,,,,
,,,229,,2953.31787109375,441732448.0,883459008.0,,,,,,
,,,230,,2953.35205078125,474640288.0,949274688.0,,,,,,
,,,231,,2953.33935546875,382657312.0,765308736.0,,,,,,
,,,232,,2953.35400390625,443345376.0,886684864.0,,,,,,
,,,233,,2953.3642578125,346917920.0,693829952.0,,,,,,
,,,234,,2953.34521484375,351906528.0,703807168.0,,,,,,
,,,235,,2953.34619140625,456937984.0,913870080.0,,,,,,
,,,236,,2953.350341796875,363241824.0,726477760.0,,,,,,
,,,237,,2953.351806640625,356351008.0,712696128.0,,,,,,
,,,238,,2953.355712890625,402309440.0,804612992.0,,,,,,
,,,239,,2953.364013671875,377652800.0,755299712.0,,,,,,
,,,959,11,,,,391074624.0,782143296.0,2953.349853515625,,,
,,,959,11,,,,,,,2782.223388671875,396440384.0,792874944.0
443149856.0,886295168.0,2267.156982421875,999,12,,,,,,,,,
,,,240,,2375.469970703125,388807808.0,777610880.0,,,,,,
,,,241,,2375.458251953125,352749696.0,705494656.0,,,,,,
,,,242,,2375.4775390625,359781504.0,719558272.0,,,,,,
,,,243,,2375.48193359375,327625152.0,655245568.0,,,,,,
,,,244,,2375.476318359375,396486048.0,792967360.0,,,,,,
,,,245,,2375.482177734375,432174304.0,864343872.0,,,,,,
,,,246,,2375.470947265625,405773024.0,811541312.0,,,,,,
,,,247,,2375.46533203125,362692288.0,725379840.0,,,,,,
,,,248,,2375.49072265625,366285440.0,732566144.0,,,,,,
,,,249,,2375.447265625,437920768.0,875836800.0,,,,,,
,,,250,,2375.4775390625,470625504.0,941246272.0,,,,,,
,,,251,,2375.466064453125,379171296.0,758337856.0,,,,,,
,,,252,,2375.474365234375,439533248.0,879061760.0,,,,,,
,,,253,,2375.48486328125,343716352.0,687427968.0,,,,,,
,,,254,,2375.464599609375,348512544.0,697020352.0,,,,,,
,,,255,,2375.476806640625,452991200.0,905977664.0,,,,,,
,,,256,,2375.474365234375,359842848.0,719680960.0,,,,,,
,,,257,,2375.4765625,352916416.0,705828096.0,,,,,,
,,,258,,2375.475341796875,398653632.0,797302528.0,,,,,,
,,,259,,2375.48583984375,374214240.0,748423744.0,,,,,,
,,,1039,12,,,,387523712.0,775042624.0,2375.4736328125,,,
,,,1039,12,,,,,,,2264.6630859375,393174464.0,786344320.0
442100128.0,884196288.0,1974.215576171875,1049,13,,,,,,,,,
364019104.0,728034816.0,1687.1522216796875,1099,13,,,,,,,,,
,,,260,,1838.5989990234375,385103104.0,770202560.0,,,,,,
,,,261,,1838.5928955078125,349366880.0,698730112.0,,,,,,
,,,262,,1838.606201171875,356362432.0,712721216.0,,,,,,
,,,263,,1838.6090087890625,324245888.0,648488128.0,,,,,,
,,,264,,1838.6051025390625,392804832.0,785606016.0,,,,,,
,,,265,,1838.60791015625,428145920.0,856288192.0,,,,,,
,,,266,,1838.599609375,401981184.0,803958720.0,,,,,,
,,,267,,1838.596923828125,359150752.0,718297856.0,,,,,,
,,,268,,1838.6170654296875,362798912.0,725594176.0,,,,,,
,,,269,,1838.5843505859375,433986592.0,867969536.0,,,,,,
,,,270,,1838.6075439453125,466480544.0,932957440.0,,,,,,
,,,271,,1838.598876953125,375575424.0,751147200.0,,,,,,
,,,272,,1838.602783203125,435598656.0,871193664.0,,,,,,
,,,273,,1838.6142578125,340415744.0,680827840.0,,,,,,
,,,274,,1838.594970703125,345012192.0,690020736.0,,,,,,
,,,275,,1838.6055908203125,448916864.0,897830080.0,,,,,,
,,,276,,1838.6041259765625,356337312.0,712670976.0,,,,,,
,,,277,,1838.606201171875,349373952.0,698744256.0,,,,,,
,,,278,,1838.6043701171875,394881504.0,789759360.0,,,,,,
,,,279,,1838.6136474609375,370667712.0,741331776.0,,,,,,
,,,1119,13,,,,383860320.0,767716992.0,1838.6036376953125,,,
,,,1119,13,,,,,,,1797.7623291015625,389732672.0,779462144.0
350891520.0,701780224.0,1408.7918701171875,1149,14,,,,,,,,,
340521600.0,681040896.0,1143.5455322265625,1199,14,,,,,,,,,
,,,280,,1325.4976806640625,381270016.0,762537408.0,,,,,,
,,,281,,1325.492919921875,345869024.0,691735424.0,,,,,,
,,,282,,1325.5018310546875,352826848.0,705651072.0,,,,,,
,,,283,,1325.5029296875,320751776.0,641500928.0,,,,,,
,,,284,,1325.50048828125,388996192.0,777989760.0,,,,,,
,,,285,,1325.5025634765625,423975744.0,847948864.0,,,,,,
,,,286,,1325.4989013671875,398057312.0,796112000.0,,,,,,
,,,287,,1325.4957275390625,355487584.0,710972544.0,,,,,,
,,,288,,1325.5072021484375,359193056.0,718383488.0,,,,,,
,,,289,,1325.490234375,429914528.0,859826432.0,,,,,,
,,,290,,1325.5010986328125,462188928.0,924375232.0,,,,,,
,,,291,,1325.496826171875,371855648.0,743708672.0,,,,,,
,,,292,,1325.5018310546875,431526144.0,863049664.0,,,,,,
,,,293,,1325.508056640625,337003488.0,674004352.0,,,,,,
,,,294,,1325.4942626953125,341391936.0,682781248.0,,,,,,
,,,295,,1325.498779296875,444698784.0,889394944.0,,,,,,
,,,296,,1325.4981689453125,352711680.0,705420736.0,,,,,,
,,,297,,1325.5013427734375,345709760.0,691416896.0,,,,,,
,,,298,,1325.499755859375,390978112.0,781953600.0,,,,,,
,,,299,,1325.505615234375,366999200.0,733995776.0,,,,,,
,,,1199,14,,,,380070240.0,760137856.0,1325.4998779296875,,,
,,,1199,14,,,,,,,1353.0654296875,386176736.0,772350656.0
374227712.0,748453632.0,897.7854614257812,1249,15,,,,,,,,,
,,,300,,887.1026000976562,377183744.0,754365696.0,,,,,,
,,,301,,887.1000366210938,342142752.0,684283712.0,,,,,,
,,,302,,887.1050415039062,349060000.0,698118208.0,,,,,,
,,,303,,887.10546875,317029440.0,634057088.0,,,,,,
,,,304,,887.1063232421875,384936224.0,769870656.0,,,,,,
,,,305,,887.105224609375,419527680.0,839053568.0,,,,,,
,,,306,,887.1036987304688,393873664.0,787745536.0,,,,,,
,,,307,,887.1016235351562,351583840.0,703165888.0,,,,,,
,,,308,,887.108154296875,355350816.0,710699840.0,,,,,,
,,,309,,887.0974731445312,425571776.0,851141760.0,,,,,,
,,,310,,887.1045532226562,457610496.0,915219200.0,,,,,,
,,,311,,887.1021728515625,367891040.0,735780288.0,,,,,,
,,,312,,887.1051025390625,427182944.0,854364096.0,,,,,,
,,,313,,887.1112060546875,333369088.0,666736384.0,,,,,,
,,,314,,887.1016235351562,337534144.0,675066496.0,,,,,,
,,,315,,887.1017456054688,440199328.0,880396864.0,,,,,,
,,,316,,887.1029663085938,348848160.0,697694528.0,,,,,,
,,,317,,887.10595703125,341804896.0,683608000.0,,,,,,
,,,318,,887.1040649414062,386816448.0,773631104.0,,,,,,
,,,319,,887.1083984375,363089792.0,726177792.0,,,,,,
,,,1279,15,,,,376030336.0,752058880.0,887.1041259765625,,,
,,,1279,15,,,,,,,945.3485717773438,382500064.0,764998144.0
377152416.0,754303488.0,682.4756469726562,1299,16,,,,,,,,,
317405184.0,634809408.0,492.90692138671875,1349,16,,,,,,,,,
,,,320,,526.997314453125,372961472.0,745921920.0,,,,,,
,,,321,,526.9959106445312,338295136.0,676589248.0,,,,,,
,,,322,,526.99853515625,345170240.0,690339456.0,,,,,,
,,,323,,526.9984741210938,313186080.0,626371136.0,,,,,,
,,,324,,526.9994506835938,380741280.0,761481536.0,,,,,,
,,,325,,526.9987182617188,414928640.0,829856256.0,,,,,,
