train_recon_loss_step,step,epoch,train_main_loss_step,train_loss_step,val_recon_loss_step,val_loss_step,val_main_loss_step,val_main_loss_epoch,val_recon_loss_epoch,val_loss_epoch,train_recon_loss_epoch,train_loss_epoch,train_main_loss_epoch
,228,,,,2407.305419921875,349349760.0,698694720.0,,,,,,
,229,,,,2407.314208984375,411009824.0,822014848.0,,,,,,
,230,,,,2407.29931640625,455627104.0,911249408.0,,,,,,
,231,,,,2407.30029296875,381207168.0,762409536.0,,,,,,
,232,,,,2407.310546875,429066144.0,858127488.0,,,,,,
,233,,,,2407.3076171875,365789696.0,731574592.0,,,,,,
,234,,,,2407.306396484375,364622080.0,729239360.0,,,,,,
,235,,,,2407.333984375,445731264.0,891457728.0,,,,,,
,236,,,,2407.302490234375,409887168.0,819769536.0,,,,,,
,237,,,,2407.316162109375,419383328.0,838761856.0,,,,,,
,238,,,,2407.314697265625,389674432.0,779344064.0,,,,,,
,239,,,,2407.313232421875,361210144.0,722415488.0,,,,,,
,959,11,,,,,,803899392.0,2407.31103515625,401952128.0,,,
,959,11,,,,,,,,,2281.4912109375,409990624.0,819976640.0
2146.115478515625,999,12,800857472.0,400430880.0,,,,,,,,,
,240,,,,2239.428466796875,340055936.0,680107392.0,,,,,,
,241,,,,2239.447265625,427928064.0,855851648.0,,,,,,
,242,,,,2239.458251953125,352968992.0,705933504.0,,,,,,
,243,,,,2239.4326171875,423243776.0,846483072.0,,,,,,
,244,,,,2239.424072265625,416470656.0,832936832.0,,,,,,
,245,,,,2239.434814453125,442482464.0,884960448.0,,,,,,
,246,,,,2239.4267578125,480075136.0,960145792.0,,,,,,
,247,,,,2239.44873046875,359834816.0,719665152.0,,,,,,
,248,,,,2239.431884765625,347812288.0,695620096.0,,,,,,
,249,,,,2239.4404296875,409345184.0,818685888.0,,,,,,
,250,,,,2239.4267578125,453794816.0,907585152.0,,,,,,
,251,,,,2239.427490234375,379602240.0,759200000.0,,,,,,
,252,,,,2239.435791015625,427329184.0,854653888.0,,,,,,
,253,,,,2239.43505859375,364210048.0,728415616.0,,,,,,
,254,,,,2239.434326171875,363117472.0,726230464.0,,,,,,
,255,,,,2239.454833984375,443921632.0,887838784.0,,,,,,
,256,,,,2239.429931640625,408169344.0,816334208.0,,,,,,
,257,,,,2239.4423828125,417742496.0,835480512.0,,,,,,
,258,,,,2239.442138671875,388036640.0,776068800.0,,,,,,
,259,,,,2239.439453125,359638336.0,719272192.0,,,,,,
,1039,12,,,,,,800573440.0,2239.43701171875,400288960.0,,,
,1039,12,,,,,,,,,2144.724853515625,408476512.0,816948928.0
2038.1396484375,1049,13,776354560.0,388179328.0,,,,,,,,,
1910.507568359375,1099,13,801112384.0,400558112.0,,,,,,,,,
,260,,,,2007.857666015625,338344000.0,676683968.0,,,,,,
,261,,,,2007.874267578125,425976032.0,851948032.0,,,,,,
,262,,,,2007.8829345703125,351256160.0,702508288.0,,,,,,
,263,,,,2007.8656005859375,421299200.0,842594368.0,,,,,,
,264,,,,2007.8597412109375,414579584.0,829155136.0,,,,,,
,265,,,,2007.8642578125,440454720.0,880905408.0,,,,,,
,266,,,,2007.85791015625,477971040.0,955938048.0,,,,,,
,267,,,,2007.875,358086880.0,716169728.0,,,,,,
,268,,,,2007.86328125,346084192.0,692164352.0,,,,,,
,269,,,,2007.869384765625,407473728.0,814943424.0,,,,,,
,270,,,,2007.8590087890625,451734336.0,903464640.0,,,,,,
,271,,,,2007.8590087890625,377798048.0,755592064.0,,,,,,
,272,,,,2007.86572265625,425376160.0,850748288.0,,,,,,
,273,,,,2007.8670654296875,362434368.0,724864704.0,,,,,,
,274,,,,2007.864990234375,361426432.0,722848832.0,,,,,,
,275,,,,2007.877197265625,441886688.0,883769344.0,,,,,,
,276,,,,2007.862060546875,406237920.0,812471808.0,,,,,,
,277,,,,2007.8697509765625,415897888.0,831791744.0,,,,,,
,278,,,,2007.872314453125,386195424.0,772386816.0,,,,,,
,279,,,,2007.870361328125,357871552.0,715739072.0,,,,,,
,1119,13,,,,,,796834368.0,2007.866943359375,398419232.0,,,
,1119,13,,,,,,,,,1959.9150390625,406876992.0,813749824.0
1741.285400390625,1149,14,953473600.0,476738528.0,,,,,,,,,
1562.495849609375,1199,14,802597632.0,401300384.0,,,,,,,,,
,280,,,,1705.8580322265625,336397024.0,672790656.0,,,,,,
,281,,,,1705.8719482421875,423754976.0,847506560.0,,,,,,
,282,,,,1705.87646484375,349308192.0,698612992.0,,,,,,
,283,,,,1705.8653564453125,419086752.0,838170112.0,,,,,,
,284,,,,1705.86328125,412428128.0,824852864.0,,,,,,
,285,,,,1705.86376953125,438147264.0,876291136.0,,,,,,
,286,,,,1705.8568115234375,475576544.0,951149696.0,,,,,,
,287,,,,1705.8695068359375,356098912.0,712194432.0,,,,,,
,288,,,,1705.861328125,344118848.0,688234304.0,,,,,,
,289,,,,1705.8658447265625,405344736.0,810686080.0,,,,,,
,290,,,,1705.859375,449389600.0,898775808.0,,,,,,
