train_loss_step,epoch,step,train_recon_loss_step,train_main_loss_step,val_recon_loss_step,val_main_loss_step,val_loss_step,val_recon_loss_epoch,val_main_loss_epoch,val_loss_epoch,train_loss_epoch,train_main_loss_epoch,train_recon_loss_epoch
,,174,,,1971.5206298828125,1001010560.0,500507264.0,,,,,,
,,175,,,1971.5147705078125,810658368.0,405331168.0,,,,,,
,,176,,,1971.498046875,879841600.0,439922784.0,,,,,,
,,177,,,1971.5494384765625,824799552.0,412401760.0,,,,,,
,,178,,,1971.48779296875,966894144.0,483449056.0,,,,,,
,,179,,,1971.5406494140625,760529728.0,380266848.0,,,,,,
,8,719,,,,,,1971.515380859375,828908800.0,414456416.0,,,
,8,719,,,,,,,,,409520640.0,819037632.0,1881.6788330078125
408164160.0,9,749,1758.3980712890625,816324800.0,,,,,,,,,
374615072.0,9,799,1689.451416015625,749226752.0,,,,,,,,,
,,180,,,1840.887451171875,824559936.0,412281824.0,,,,,,
,,181,,,1840.9161376953125,913529664.0,456766688.0,,,,,,
,,182,,,1840.8934326171875,889149504.0,444576608.0,,,,,,
,,183,,,1840.895263671875,770520192.0,385261952.0,,,,,,
,,184,,,1840.92822265625,712675072.0,356339392.0,,,,,,
,,185,,,1840.890380859375,808096128.0,404049920.0,,,,,,
,,186,,,1840.88720703125,954170432.0,477087072.0,,,,,,
,,187,,,1840.904541015625,850238656.0,425121184.0,,,,,,
,,188,,,1840.92333984375,810072384.0,405038048.0,,,,,,
,,189,,,1840.9049072265625,774159104.0,387081408.0,,,,,,
,,190,,,1840.907470703125,729409856.0,364706784.0,,,,,,
,,191,,,1840.9056396484375,867555264.0,433779488.0,,,,,,
,,192,,,1840.92138671875,723090496.0,361547104.0,,,,,,
,,193,,,1840.9071044921875,656927488.0,328465600.0,,,,,,
,,194,,,1840.912841796875,996858368.0,498431040.0,,,,,,
,,195,,,1840.9071044921875,807050752.0,403527232.0,,,,,,
,,196,,,1840.891357421875,876160768.0,438082240.0,,,,,,
,,197,,,1840.93896484375,821174528.0,410589120.0,,,,,,
,,198,,,1840.8858642578125,962854400.0,481429056.0,,,,,,
,,199,,,1840.927978515625,757094400.0,378549056.0,,,,,,
,9,799,,,,,,1840.906982421875,825267392.0,412635488.0,,,
,9,799,,,,,,,,,407972128.0,815941056.0,1745.8450927734375
412357376.0,10,849,1600.09033203125,824711552.0,,,,,,,,,
,,200,,,1686.38134765625,820156800.0,410080096.0,,,,,,
,,201,,,1686.4063720703125,908805568.0,454404480.0,,,,,,
,,202,,,1686.383056640625,884595264.0,442299328.0,,,,,,
,,203,,,1686.3873291015625,766366016.0,383184704.0,,,,,,
,,204,,,1686.4144287109375,708662976.0,354333184.0,,,,,,
,,205,,,1686.381103515625,803808768.0,401906080.0,,,,,,
,,206,,,1686.38037109375,949392640.0,474698016.0,,,,,,
,,207,,,1686.3953857421875,845723008.0,422863200.0,,,,,,
,,208,,,1686.4093017578125,805723840.0,402863616.0,,,,,,
,,209,,,1686.3935546875,770026048.0,385014720.0,,,,,,
